Gene,Sample,Habitat,Group
AAULSZ010000002.1_171,GCA_013745935.1_PDT000762077.1_genomic,pig faeces,GroupA
AAULYN010000003.1_171,GCA_013747855.1_PDT000761942.1_genomic,pig faeces,GroupA
AAVNEE010000105.1_5,GCA_014271095.1_PDT000819672.1_genomic,pig faeces,GroupF
AAVNEI010000006.1_171,GCA_014271145.1_PDT000819669.1_genomic,pig faeces,GroupA
AAVNEJ010000122.1_4,GCA_014271165.1_PDT000819666.1_genomic,pig faeces,GroupA
AAVNEO010000108.1_5,GCA_014271265.1_PDT000819658.1_genomic,pig faeces,GroupA
AAVNEW010000046.1_6,GCA_014271285.1_PDT000819655.1_genomic,pig faeces,GroupC
AAVNEN010000112.1_5,GCA_014271305.1_PDT000819659.1_genomic,pig faeces,GroupE
AAVNEP010000020.1_63,GCA_014271325.1_PDT000819656.1_genomic,pig faeces,GroupF
AAVNER010000059.1_5,GCA_014271345.1_PDT000819653.1_genomic,pig faeces,GroupA
AAVNET010000015.1_81,GCA_014271365.1_PDT000819643.1_genomic,pig faeces,GroupA
AAVNEQ010000005.1_130,GCA_014271385.1_PDT000819654.1_genomic,pig faeces,GroupA
AAVNEU010000098.1_5,GCA_014271425.1_PDT000819650.1_genomic,pig faeces,GroupF
AAVNFB010000047.1_24,GCA_014271445.1_PDT000819639.1_genomic,pig faeces,GroupA
AAVNFC010000040.1_6,GCA_014271465.1_PDT000819641.1_genomic,pig faeces,GroupA
AAVNEX010000130.1_5,GCA_014271485.1_PDT000819651.1_genomic,pig faeces,GroupA
AAVNFG010000032.1_25,GCA_014271505.1_PDT000819637.1_genomic,pig faeces,GroupA
AAVNEY010000033.1_24,GCA_014271525.1_PDT000819636.1_genomic,pig faeces,GroupA
AAVNEZ010000076.1_6,GCA_014271545.1_PDT000819642.1_genomic,pig faeces,GroupA
AAVNFA010000037.1_6,GCA_014271585.1_PDT000819638.1_genomic,pig faeces,GroupA
AAVNFD010000002.1_171,GCA_014271625.1_PDT000819634.1_genomic,pig faeces,GroupA
AAVNFE010000141.1_5,GCA_014271645.1_PDT000819633.1_genomic,pig faeces,GroupA
AAVNED010000004.1_171,GCA_014271665.1_PDT000819671.1_genomic,pig faeces,GroupA
AAVNEL010000114.1_4,GCA_014271685.1_PDT000819662.1_genomic,pig faeces,GroupA
AAVNFI010000003.1_171,GCA_014271705.1_PDT000819632.1_genomic,pig faeces,GroupA
AAVNEH010000042.1_5,GCA_014271725.1_PDT000819670.1_genomic,pig faeces,GroupF
AAVNEK010000105.1_6,GCA_014271745.1_PDT000819664.1_genomic,pig faeces,GroupA
AAVNFO010000016.1_48,GCA_014271805.1_PDT000819630.1_genomic,pig faeces,GroupF
AAVNFM010000042.1_6,GCA_014272425.1_PDT000819628.1_genomic,pig faeces,GroupC
AAVNFN010000042.1_5,GCA_014272465.1_PDT000819631.1_genomic,pig faeces,GroupA
AAVNTV010000050.1_24,GCA_014279245.1_PDT000819660.1_genomic,pig faeces,GroupA
AAVNTX010000004.1_63,GCA_014279285.1_PDT000819665.1_genomic,pig faeces,GroupA
AAWOVH010000016.1_83,GCA_014937545.1_PDT000863055.1_genomic,pig faeces,GroupA
AAWOWB010000004.1_107,GCA_014937685.1_PDT000863029.1_genomic,pig faeces,GroupA
AAWOWF010000004.1_172,GCA_014937965.1_PDT000863024.1_genomic,pig faeces,GroupF
AAWPHD010000067.1_5,GCA_014938065.1_PDT000862725.1_genomic,pig faeces,GroupA
AAWPHA010000009.1_106,GCA_014938085.1_PDT000862732.1_genomic,pig faeces,GroupC
AAWPFX010000075.1_5,GCA_014938105.1_PDT000862763.1_genomic,pig faeces,GroupA
AAWPGZ010000006.1_172,GCA_014938145.1_PDT000862731.1_genomic,pig faeces,GroupA
AAWPGW010000091.1_5,GCA_014938225.1_PDT000862733.1_genomic,pig faeces,GroupA
AAWPGD010000045.1_6,GCA_014938265.1_PDT000862752.1_genomic,pig faeces,GroupA
AAWPGC010000006.1_171,GCA_014938305.1_PDT000862756.1_genomic,pig faeces,GroupA
AAWPGH010000051.1_5,GCA_014938325.1_PDT000862747.1_genomic,pig faeces,GroupA
AAWPGF010000024.1_56,GCA_014938345.1_PDT000862754.1_genomic,pig faeces,GroupA
AAWOXP010000010.1_107,GCA_014943655.1_PDT000862989.1_genomic,pig faeces,GroupA
AAWOWZ010000001.1_171,GCA_014944085.1_PDT000863003.1_genomic,pig faeces,GroupA
AAWPHH010000004.1_171,GCA_014944265.1_PDT000862724.1_genomic,pig faeces,GroupC
AAWPHW010000047.1_5,GCA_014944525.1_PDT000862707.1_genomic,pig faeces,GroupA
AAWPIK010000090.1_4,GCA_014944765.1_PDT000862693.1_genomic,pig faeces,GroupA
AAWPJD010000089.1_6,GCA_014945105.1_PDT000862677.1_genomic,pig faeces,GroupF
AAWPJH010000071.1_5,GCA_014945125.1_PDT000862670.1_genomic,pig faeces,GroupA
AAWOYA010000097.1_5,GCA_014950905.1_PDT000862977.1_genomic,pig faeces,GroupA
AAWOZH010000013.1_107,GCA_014951205.1_PDT000862942.1_genomic,pig faeces,GroupA
AAWOZP010000158.1_6,GCA_014958385.1_PDT000862931.1_genomic,pig faeces,GroupA
AAWOZV010000016.1_93,GCA_014958595.1_PDT000862923.1_genomic,pig faeces,GroupE
AAWONG010000055.1_24,GCA_014967725.1_PDT000863337.1_genomic,pig faeces,GroupF
AAWOOB010000054.1_6,GCA_014968045.1_PDT000863313.1_genomic,pig faeces,GroupA
AAWPBL010000016.1_93,GCA_014968845.1_PDT000862880.1_genomic,pig faeces,GroupA
AAWNQI010000005.1_232,GCA_014972225.1_PDT000864252.1_genomic,pig faeces,GroupA
AAWNQJ010000004.1_107,GCA_014972285.1_PDT000864253.1_genomic,pig faeces,GroupF
AAWNQM010000004.1_171,GCA_014972305.1_PDT000864249.1_genomic,pig faeces,GroupA
AAWNQL010000013.1_107,GCA_014972385.1_PDT000864250.1_genomic,pig faeces,GroupA
AAWNQK010000020.1_80,GCA_014972425.1_PDT000864248.1_genomic,pig faeces,GroupA
AAWOOM010000138.1_5,GCA_014975585.1_PDT000863235.1_genomic,pig faeces,GroupE
AAWOOU010000043.1_6,GCA_014975785.1_PDT000863224.1_genomic,pig faeces,GroupF
AAWPCD010000004.1_171,GCA_014976305.1_PDT000862861.1_genomic,pig faeces,GroupA
AAWPCB010000086.1_6,GCA_014976765.1_PDT000862864.1_genomic,pig faeces,GroupA
AAWOPV010000023.1_68,GCA_014985525.1_PDT000863197.1_genomic,pig faeces,GroupA
AAWPDK010000087.1_6,GCA_014987385.1_PDT000862832.1_genomic,pig faeces,GroupA
AAWPDN010000014.1_93,GCA_014987475.1_PDT000862824.1_genomic,pig faeces,GroupF
AAWPDX010000052.1_6,GCA_014987605.1_PDT000862817.1_genomic,pig faeces,GroupE
AAWPEX010000067.1_6,GCA_014988005.1_PDT000862789.1_genomic,pig faeces,GroupA
AAWOTG010000069.1_5,GCA_014992625.1_PDT000863108.1_genomic,pig faeces,GroupE
AAWOUF010000039.1_5,GCA_014992905.1_PDT000863080.1_genomic,pig faeces,GroupF
AAWOUH010000017.1_51,GCA_014992945.1_PDT000863076.1_genomic,pig faeces,GroupC
AAWOTJ010000082.1_5,GCA_014993345.1_PDT000863104.1_genomic,pig faeces,GroupA
AAWOTI010000023.1_73,GCA_014993465.1_PDT000863105.1_genomic,pig faeces,GroupA
AAWPFB010000063.1_5,GCA_014993525.1_PDT000862783.1_genomic,pig faeces,GroupA
AAWPFS010000071.1_6,GCA_014993665.1_PDT000862765.1_genomic,pig faeces,GroupC
AAWOUT010000073.1_5,GCA_014998905.1_PDT000863065.1_genomic,pig faeces,GroupA
AAWRTE010000005.1_171,GCA_015011135.1_PDT000859177.1_genomic,pig faeces,GroupA
AAXCSW010000070.1_5,GCA_015286085.1_PDT000881709.1_genomic,pig faeces,GroupA
AAXCUQ010000075.1_5,GCA_015286145.1_PDT000881658.1_genomic,pig faeces,GroupC
AAXCVN010000017.1_83,GCA_015286455.1_PDT000881636.1_genomic,pig faeces,GroupA
AAXDPD010000170.1_5,GCA_015316405.1_PDT000672843.1_genomic,pig faeces,GroupB
AAXEXW010000005.1_228,GCA_015347635.1_PDT000884888.1_genomic,pig faeces,GroupA
AAXEYK010000048.1_5,GCA_015357015.1_PDT000884893.1_genomic,pig faeces,GroupA
AAXEZG010000034.1_5,GCA_015363475.1_PDT000884889.1_genomic,pig faeces,GroupE
AAYANP010000047.1_6,GCA_016216065.1_PDT000639900.2_genomic,pig faeces,GroupA
DACZYZ010000046.1_10,GCA_016465035.1_PDT000927421.1_genomic,pig faeces,GroupE
DACZZC010000052.1_6,GCA_016465055.1_PDT000927419.1_genomic,pig faeces,GroupE
DACZYW010000049.1_6,GCA_016465075.1_PDT000927420.1_genomic,pig faeces,GroupE
DACZYY010000269.1_2,GCA_016465135.1_PDT000927424.1_genomic,pig faeces,GroupE
DACZZB010000007.1_85,GCA_016465175.1_PDT000927422.1_genomic,pig faeces,GroupE
DACZYX010000121.1_4,GCA_016465195.1_PDT000927423.1_genomic,pig faeces,GroupE
DACZZL010000046.1_6,GCA_016465275.1_PDT000927417.1_genomic,pig faeces,GroupE
DACZZH010000055.1_6,GCA_016465295.1_PDT000927418.1_genomic,pig faeces,GroupE
AAYMRF010000003.1_171,GCA_016515515.1_PDT000862680.1_genomic,pig faeces,GroupA
AAYMRE010000004.1_171,GCA_016515555.1_PDT000862762.1_genomic,pig faeces,GroupA
AAYMSZ010000002.1_171,GCA_016518815.1_PDT000884891.1_genomic,pig faeces,GroupA
AAYMTQ010000002.1_171,GCA_016518865.1_PDT000884890.1_genomic,pig faeces,GroupF
AAYNZM010000010.1_88,GCA_016542175.1_PDT000819667.1_genomic,pig faeces,GroupA
AAYNZG010000004.1_172,GCA_016542285.1_PDT000819673.1_genomic,pig faeces,GroupA
AAYNZV010000127.1_5,GCA_016542365.1_PDT000819668.1_genomic,pig faeces,GroupF
AAYNZW010000015.1_90,GCA_016542425.1_PDT000819657.1_genomic,pig faeces,GroupC
AAYNZT010000104.1_5,GCA_016542445.1_PDT000819629.1_genomic,pig faeces,GroupF
AAYNZS010000091.1_5,GCA_016542465.1_PDT000819661.1_genomic,pig faeces,GroupE
AAYNZX010000105.1_6,GCA_016542505.1_PDT000819640.1_genomic,pig faeces,GroupA
AAYOBB010000004.1_171,GCA_016543165.1_PDT000785123.2_genomic,pig faeces,GroupA
AAYOBE010000042.1_6,GCA_016543205.1_PDT000785122.2_genomic,pig faeces,GroupA
AAYOBR010000003.1_171,GCA_016543225.1_PDT000785121.2_genomic,pig faeces,GroupF
AAYOHT010000002.1_232,GCA_016546635.1_PDT000761943.1_genomic,pig faeces,GroupF
AAYOHO010000003.1_171,GCA_016546695.1_PDT000762079.1_genomic,pig faeces,GroupA
AAYOIB010000020.1_88,GCA_016546915.1_PDT000733345.1_genomic,pig faeces,GroupA
AAYOID010000002.1_233,GCA_016546935.1_PDT000734954.1_genomic,pig faeces,GroupA
AAYOIL010000002.1_232,GCA_016546995.1_PDT000733343.1_genomic,pig faeces,GroupF
AAYOIF010000002.1_232,GCA_016547015.1_PDT000733341.1_genomic,pig faeces,GroupA
AAYOIE010000005.1_171,GCA_016547035.1_PDT000728878.1_genomic,pig faeces,GroupC
AAYOIM010000002.1_232,GCA_016547075.1_PDT000728875.1_genomic,pig faeces,GroupF
AAYOIV010000019.1_88,GCA_016547355.1_PDT000722593.1_genomic,pig faeces,GroupE
AAYOIP010000004.1_101,GCA_016547415.1_PDT000722379.1_genomic,pig faeces,GroupA
AAYOJB010000003.1_171,GCA_016547515.1_PDT000718330.1_genomic,pig faeces,GroupA
AAYOJA010000006.1_171,GCA_016547535.1_PDT000718333.1_genomic,pig faeces,GroupF
AAYOIZ010000002.1_232,GCA_016547595.1_PDT000718326.1_genomic,pig faeces,GroupA
AAYOJC010000069.1_5,GCA_016547695.1_PDT000714695.1_genomic,pig faeces,GroupA
AAYOKI010000085.1_5,GCA_016548175.1_PDT000689832.1_genomic,pig faeces,GroupF
AAYQIP010000124.1_5,GCA_016575695.1_PDT000668408.2_genomic,pig faeces,GroupC
AAYQIS010000019.1_48,GCA_016575795.1_PDT000668387.2_genomic,pig faeces,GroupA
AAYQIO010000001.1_172,GCA_016575815.1_PDT000668312.2_genomic,pig faeces,GroupA
AAYQIJ010000100.1_5,GCA_016575835.1_PDT000668310.2_genomic,pig faeces,GroupC
AAYQIW010000126.1_5,GCA_016575955.1_PDT000656750.1_genomic,pig faeces,GroupB
AAYQIK010000005.1_172,GCA_016575965.1_PDT000655787.1_genomic,pig faeces,GroupA
AAYQIZ010000046.1_6,GCA_016575995.1_PDT000655794.1_genomic,pig faeces,GroupF
AAYQIY010000006.1_172,GCA_016576005.1_PDT000655943.1_genomic,pig faeces,GroupA
AAYQIV010000041.1_6,GCA_016576035.1_PDT000655781.1_genomic,pig faeces,GroupB
AAYQJM010000003.1_172,GCA_016576075.1_PDT000646037.1_genomic,pig faeces,GroupA
AAYQJF010000003.1_172,GCA_016576095.1_PDT000644179.1_genomic,pig faeces,GroupA
AAYQJG010000001.1_233,GCA_016576115.1_PDT000653437.1_genomic,pig faeces,GroupA
AAYQJC010000040.1_5,GCA_016576135.1_PDT000644176.1_genomic,pig faeces,GroupA
AAYQJJ010000006.1_172,GCA_016576155.1_PDT000639981.1_genomic,pig faeces,GroupA
AAYQJE010000002.1_172,GCA_016576175.1_PDT000644175.1_genomic,pig faeces,GroupA
AAYQJB010000006.1_172,GCA_016576195.1_PDT000640008.1_genomic,pig faeces,GroupC
AAYQJD010000003.1_172,GCA_016576215.1_PDT000639982.1_genomic,pig faeces,GroupA
AAYQJL010000006.1_172,GCA_016576235.1_PDT000639901.1_genomic,pig faeces,GroupA
AAYQJH010000003.1_232,GCA_016576275.1_PDT000638923.1_genomic,pig faeces,GroupA
AAYQJK010000017.1_88,GCA_016576295.1_PDT000624685.1_genomic,pig faeces,GroupA
AAYQJN010000005.1_171,GCA_016576315.1_PDT000510075.1_genomic,pig faeces,GroupA
AAYQJP010000088.1_5,GCA_016576395.1_PDT000510238.1_genomic,pig faeces,GroupA
AAYQJS010000078.1_5,GCA_016576515.1_PDT000510065.1_genomic,pig faeces,GroupA
AAYQKA010000102.1_5,GCA_016576725.1_PDT000432485.1_genomic,pig faeces,GroupA
DADBRX010000030.1_6,GCA_016581925.1_PDT000929627.1_genomic,pig faeces,GroupE
DADBRW010000033.1_6,GCA_016581975.1_PDT000929628.1_genomic,pig faeces,GroupE
DADBRY010000110.1_6,GCA_016582665.1_PDT000929626.1_genomic,pig faeces,GroupE
DADCIH010000009.1_84,GCA_016662985.1_PDT000935073.1_genomic,pig faeces,GroupD
DADCHU010000038.1_5,GCA_016663005.1_PDT000935079.1_genomic,pig faeces,GroupD
DADCIJ010000017.1_100,GCA_016663225.1_PDT000935072.1_genomic,pig faeces,GroupD
DADCIM010000023.1_68,GCA_016663265.1_PDT000935067.1_genomic,pig faeces,GroupD
DADCIN010000011.1_183,GCA_016663285.1_PDT000935066.1_genomic,pig faeces,GroupD
DADCIL010000030.1_18,GCA_016663325.1_PDT000935068.1_genomic,pig faeces,GroupD
DADCKY010000016.1_100,GCA_016664605.1_PDT000934999.1_genomic,pig faeces,GroupD
DADCPR010000035.1_5,GCA_016667225.1_PDT000934874.1_genomic,pig faeces,GroupD
DADCPV010000032.1_5,GCA_016667305.1_PDT000934866.1_genomic,pig faeces,GroupD
DADCRQ010000023.1_5,GCA_016668025.1_PDT000934810.1_genomic,pig faeces,GroupD
DADCRR010000024.1_5,GCA_016668145.1_PDT000934809.1_genomic,pig faeces,GroupD
DADCSE010000029.1_33,GCA_016668325.1_PDT000934800.1_genomic,pig faeces,GroupD
DADCRZ010000024.1_5,GCA_016668385.1_PDT000934794.1_genomic,pig faeces,GroupD
DADCTL010000041.1_5,GCA_016669045.1_PDT000934753.1_genomic,pig faeces,GroupD
DADCTR010000008.1_179,GCA_016669105.1_PDT000934754.1_genomic,pig faeces,GroupD
DADCUG010000005.1_179,GCA_016669485.1_PDT000934735.1_genomic,pig faeces,GroupD
DADCVZ010000007.1_180,GCA_016670425.1_PDT000934678.1_genomic,pig faeces,GroupD
DADCWB010000010.1_178,GCA_016670465.1_PDT000934679.1_genomic,pig faeces,GroupD
DADCVX010000010.1_182,GCA_016670485.1_PDT000934677.1_genomic,pig faeces,GroupD
DADCXM010000041.1_6,GCA_016671045.1_PDT000934646.1_genomic,pig faeces,GroupD
DADDEO010000007.1_180,GCA_016675055.1_PDT000934415.1_genomic,pig faeces,GroupD
DADDES010000033.1_18,GCA_016675075.1_PDT000934418.1_genomic,pig faeces,GroupD
DADDET010000031.1_4,GCA_016675095.1_PDT000934419.1_genomic,pig faeces,GroupD
DADDFD010000037.1_5,GCA_016675395.1_PDT000934396.1_genomic,pig faeces,GroupD
DADDFP010000028.1_5,GCA_016675695.1_PDT000934373.1_genomic,pig faeces,GroupD
DADDGC010000038.1_5,GCA_016675955.1_PDT000934360.1_genomic,pig faeces,GroupD
DADDGQ010000007.1_180,GCA_016676135.1_PDT000934348.1_genomic,pig faeces,GroupD
DADDGO010000008.1_180,GCA_016676195.1_PDT000934349.1_genomic,pig faeces,GroupD
DADDGY010000030.1_18,GCA_016676275.1_PDT000934347.1_genomic,pig faeces,GroupD
DADDTX010000024.1_33,GCA_016683715.1_PDT000933923.1_genomic,pig faeces,GroupD
DADDUD010000014.1_100,GCA_016683995.1_PDT000933915.1_genomic,pig faeces,GroupD
DADDUL010000047.1_6,GCA_016684095.1_PDT000933912.1_genomic,pig faeces,GroupD
DADDUK010000040.1_6,GCA_016684185.1_PDT000933907.1_genomic,pig faeces,GroupD
DADDXH010000029.1_35,GCA_016685555.1_PDT000933804.1_genomic,pig faeces,GroupD
DADDXM010000067.1_3,GCA_016685715.1_PDT000933796.1_genomic,pig faeces,GroupD
DADDXT010000008.1_101,GCA_016685805.1_PDT000933791.1_genomic,pig faeces,GroupD
AAZZZU010000057.1_6,GCA_017954775.1_PDT000602784.1_genomic,pig faeces,GroupF
AAZZZV010000067.1_5,GCA_017954815.1_PDT000602783.1_genomic,pig faeces,GroupA
DADWUV010000007.1_27,GCA_018028315.1_PDT000934642.1_genomic,pig faeces,GroupD
DADWVH010000034.1_6,GCA_018028625.1_PDT000934421.1_genomic,pig faeces,GroupD
DADWVG010000048.1_4,GCA_018028675.1_PDT000934416.1_genomic,pig faeces,GroupD
DADWVN010000028.1_5,GCA_018028705.1_PDT000934371.1_genomic,pig faeces,GroupD
DADWXI010000190.1_2,GCA_018030415.1_PDT000927436.1_genomic,pig faeces,GroupE
ABACDP010000019.1_24,GCA_018037865.1_PDT000884892.1_genomic,pig faeces,GroupA
ABACIY010000080.1_6,GCA_018041865.1_PDT000863098.1_genomic,pig faeces,GroupF
ABACJF010000038.1_5,GCA_018041925.1_PDT000862818.1_genomic,pig faeces,GroupA
DAEBBT010000020.1_35,GCA_018337415.1_PDT001023468.1_genomic,pig faeces,GroupE
DAEBBQ010000043.1_6,GCA_018337815.1_PDT001023467.1_genomic,pig faeces,GroupE
DAEBBM010000038.1_5,GCA_018337855.1_PDT001023459.1_genomic,pig faeces,GroupD
ABBBKW010000029.1_5,GCA_019077505.1_PDT001079524.1_genomic,pig faeces,GroupD
ABBBMO010000091.1_4,GCA_019078425.1_PDT001079523.1_genomic,pig faeces,GroupD
ABBBPQ010000025.1_71,GCA_019080045.1_PDT001079803.1_genomic,pig faeces,GroupD
ABBBQX010000044.1_5,GCA_019080685.1_PDT001079808.1_genomic,pig faeces,GroupD
ABBBTU010000038.1_6,GCA_019082205.1_PDT001079751.1_genomic,pig faeces,GroupD
ABBBVN010000037.1_5,GCA_019083085.1_PDT001079763.1_genomic,pig faeces,GroupD
DAESMD010000137.1_6,GCA_019210025.1_PDT001088961.1_genomic,pig faeces,GroupE
DAESMF010000108.1_6,GCA_019210045.1_PDT001088963.1_genomic,pig faeces,GroupE
DAESLY010000116.1_4,GCA_019210145.1_PDT001088955.1_genomic,pig faeces,GroupE
DAESMB010000159.1_5,GCA_019210165.1_PDT001088954.1_genomic,pig faeces,GroupE
DAESQG010000080.1_6,GCA_019216685.1_PDT001088962.1_genomic,pig faeces,GroupE
DAESQH010000117.1_4,GCA_019216745.1_PDT001088959.1_genomic,pig faeces,GroupE
ABCVTZ010000019.1_6,GCA_020264705.1_PDT000819646.1_genomic,pig faeces,GroupA
ABCVWD010000063.1_6,GCA_020265765.1_PDT000819644.1_genomic,pig faeces,GroupA
ABCVWB010000013.1_93,GCA_020265825.1_PDT000819645.1_genomic,pig faeces,GroupA
ABCXMG010000013.1_93,GCA_020291985.1_PDT000722595.1_genomic,pig faeces,GroupF
ABCXMX010000027.1_6,GCA_020292305.1_PDT000722592.1_genomic,pig faeces,GroupA
ABCXSS010000002.1_183,GCA_020300745.1_PDT000702614.1_genomic,pig faeces,GroupE
ABCXTJ010000002.1_183,GCA_020301225.1_PDT000689860.1_genomic,pig faeces,GroupA
ABCXTM010000081.1_6,GCA_020301265.1_PDT000689794.1_genomic,pig faeces,GroupE
ABCXTN010000005.1_93,GCA_020301305.1_PDT000689805.1_genomic,pig faeces,GroupA
ABCXWG010000005.1_243,GCA_020302665.1_PDT000638927.2_genomic,pig faeces,GroupA
ABDBMA010000018.1_63,GCA_020366405.1_PDT000205003.3_genomic,pig faeces,GroupC
DAFMDM010000007.1_31,GCA_021485815.1_PDT001223169.1_genomic,pig faeces,GroupB
DAFMEK010000044.1_5,GCA_021486795.1_PDT001223170.1_genomic,pig faeces,GroupB
DAFMDX010000039.1_4,GCA_021489095.1_PDT001223167.1_genomic,pig faeces,GroupB
DAFMGM010000034.1_4,GCA_021490515.1_PDT001223168.1_genomic,pig faeces,GroupB
JAKFZV010000105.1_6,GCA_021650445.1_ASM2165044v1_genomic,pig faeces,GroupD
JAKGAA010000069.1_5,GCA_021650505.1_ASM2165050v1_genomic,pig faeces,GroupC
DAIVJQ010000077.1_5,GCA_024764215.1_PDT001385250.1_genomic,pig faeces,GroupC
DAIVJR010000017.1_26,GCA_024764255.1_PDT001385245.1_genomic,pig faeces,GroupB
DAIVKP010000127.1_4,GCA_024764855.1_PDT001385384.1_genomic,pig faeces,GroupD
DAIVKZ010000113.1_6,GCA_024765255.1_PDT001385254.1_genomic,pig faeces,GroupC
DAIVLC010000100.1_6,GCA_024765375.1_PDT001385225.1_genomic,pig faeces,GroupB
DAIVMP010000049.1_2,GCA_024769055.1_PDT001385282.1_genomic,pig faeces,GroupC
DAIVNY010000043.1_5,GCA_024769735.1_PDT001385247.1_genomic,pig faeces,GroupC
DAIVNZ010000160.1_4,GCA_024769785.1_PDT001385214.1_genomic,pig faeces,GroupB
DAIVQK010000159.1_4,GCA_024771095.1_PDT001385259.1_genomic,pig faeces,GroupC
DAIVUS010000004.1_178,GCA_024773265.1_PDT001385367.1_genomic,pig faeces,GroupD
DAIVWG010000020.1_49,GCA_024774125.1_PDT001384393.1_genomic,pig faeces,GroupD
DAIVWL010000004.1_179,GCA_024774165.1_PDT001384391.1_genomic,pig faeces,GroupD
DAIVWJ010000048.1_5,GCA_024774185.1_PDT001384390.1_genomic,pig faeces,GroupC
DAIVWF010000024.1_29,GCA_024774245.1_PDT001384392.1_genomic,pig faeces,GroupD
DAIVZK010000128.1_5,GCA_024775925.1_PDT001385229.1_genomic,pig faeces,GroupB
DAIVZX010000006.1_181,GCA_024776185.1_PDT001384269.1_genomic,pig faeces,GroupD
DAIVZY010000009.1_100,GCA_024776205.1_PDT001384268.1_genomic,pig faeces,GroupD
DAIWAJ010000004.1_231,GCA_024776425.1_PDT001384251.1_genomic,pig faeces,GroupC
DAJANX010000097.1_6,GCA_025041395.1_PDT001385368.1_genomic,pig faeces,GroupC
DAJANW010000041.1_5,GCA_025041435.1_PDT001385366.1_genomic,pig faeces,GroupD
DAJAOJ010000133.1_5,GCA_025042455.1_PDT001385340.1_genomic,pig faeces,GroupD
DAJAOI010000007.1_185,GCA_025042475.1_PDT001385345.1_genomic,pig faeces,GroupD
DAJAOS010000118.1_5,GCA_025042495.1_PDT001385338.1_genomic,pig faeces,GroupD
DAJAOQ010000006.1_109,GCA_025042535.1_PDT001385339.1_genomic,pig faeces,GroupD
DAJAPO010000106.1_5,GCA_025042955.1_PDT001385286.1_genomic,pig faeces,GroupC
DAJAQC010000117.1_5,GCA_025043355.1_PDT001385251.1_genomic,pig faeces,GroupC
DAJAQB010000081.1_5,GCA_025043395.1_PDT001385248.1_genomic,pig faeces,GroupC
DAJAQJ010000085.1_4,GCA_025043495.1_PDT001385231.1_genomic,pig faeces,GroupB
DAJAQM010000135.1_3,GCA_025043555.1_PDT001385221.1_genomic,pig faeces,GroupB
DAJAQO010000038.1_5,GCA_025043575.1_PDT001385217.1_genomic,pig faeces,GroupB
DAJBIT010000091.1_5,GCA_025056275.1_PDT001384394.1_genomic,pig faeces,GroupD
DAJBLJ010000003.1_182,GCA_025060725.1_PDT001384267.1_genomic,pig faeces,GroupD
DANTOA010000014.1_100,GCA_029039405.1_PDT001652750.1_genomic,pig faeces,GroupE
DANTOB010000036.1_5,GCA_029039425.1_PDT001652747.1_genomic,pig faeces,GroupE
DANTOD010000007.1_100,GCA_029039455.1_PDT001652748.1_genomic,pig faeces,GroupE
DANTOE010000014.1_100,GCA_029039475.1_PDT001652746.1_genomic,pig faeces,GroupE
DANTOM010000029.1_5,GCA_029039535.1_PDT001652742.1_genomic,pig faeces,GroupE
DANTOQ010000001.1_171,GCA_029039715.1_PDT001652730.1_genomic,pig faeces,GroupE
DANTPE010000007.1_178,GCA_029039975.1_PDT001652715.1_genomic,pig faeces,GroupD
DANTPG010000009.1_178,GCA_029040015.1_PDT001652714.1_genomic,pig faeces,GroupD
DANTPK010000008.1_181,GCA_029040035.1_PDT001652713.1_genomic,pig faeces,GroupD
DANTPJ010000018.1_100,GCA_029040055.1_PDT001652711.1_genomic,pig faeces,GroupD
DANTPI010000042.1_5,GCA_029040095.1_PDT001652710.1_genomic,pig faeces,GroupD
DANTPH010000011.1_24,GCA_029040115.1_PDT001652709.1_genomic,pig faeces,GroupD
DANTPL010000042.1_5,GCA_029040135.1_PDT001652708.1_genomic,pig faeces,GroupD
DANTPM010000043.1_6,GCA_029040155.1_PDT001652707.1_genomic,pig faeces,GroupD
DANTPO010000008.1_184,GCA_029040195.1_PDT001652705.1_genomic,pig faeces,GroupD
DANTPN010000040.1_6,GCA_029040215.1_PDT001652706.1_genomic,pig faeces,GroupD
DANTPS010000006.1_141,GCA_029040275.1_PDT001652702.1_genomic,pig faeces,GroupD
DANTQH010000048.1_19,GCA_029040535.1_PDT001652685.1_genomic,pig faeces,GroupD
DANTRK010000013.1_100,GCA_029041215.1_PDT001652731.1_genomic,pig faeces,GroupE
DANUAO010000008.1_171,GCA_029048985.1_PDT001652726.1_genomic,pig faeces,GroupE
DAOETL010000013.1_100,GCA_029516355.1_PDT001652749.1_genomic,pig faeces,GroupE
JASWVI010000009.1_179,GCA_030304155.1_ASM3030415v1_genomic,pig faeces,GroupA
DAPNUP010000016.1_46,GCA_031777955.1_PDT001835151.2_genomic,pig faeces,GroupE
DAPNUT010000049.1_5,GCA_031778005.1_PDT001835138.2_genomic,pig faeces,GroupE
DAPTAX010000031.1_49,GCA_032041875.1_PDT001835144.1_genomic,pig faeces,GroupE
DAPTAV010000039.1_29,GCA_032042035.1_PDT001835148.1_genomic,pig faeces,GroupE
DAPYNA010000035.1_5,GCA_032302415.1_PDT001834312.1_genomic,pig faeces,GroupF
DAPYNG010000010.1_180,GCA_032302515.1_PDT001834305.1_genomic,pig faeces,GroupF
DAPYNZ010000028.1_43,GCA_032302895.1_PDT001834272.1_genomic,pig faeces,GroupF
